Date,Hour,Temperature Number
2,11h05,28
2,10h50,28
2,10h30,28
2,9h00,27
2,8h50,27
2,10h30,27
2,10h40,27
2,13h05,26
2,13h30,27
2,7h55,27
2,7h40,27
2,8h20,27
2,,27
2,,26
2,,26
2,,26.5
2,,26
2,,26
2,,27
2,,26
2,,26
2,,27
2,,26.5
2,,26
16,11h55,31
16,11h30,31
16,11h00,29
16,10h10,28
16,9h30,28.5
16,10h10,27
16,10h30,26
16,14h15,28
16,14h35,28
16,7h50,28.5
16,7h30,29.5
16,7h40,29.5
16,9h00,27
16,9h30,26
16,,26
16,,27
16,,27
16,,26
16,,27
16,,26
16,,25
16,,27
16,,26
16,,26
30,11h10,31
30,11h00,31
30,10h50,30
30,10h20,29
30,10h00,30
30,10h30,28
30,10h15,29
30,15h20,28.5
30,15h35,28
30,7h40,29
30,7h30,29
30,8h25,29.5
30,10h10,28
30,9h30,27
30,,26
30,,29
30,,29
30,,28
30,,29
30,,28
30,,28
30,,28
30,,27
30,,27
6,10h30,29.5
6,,30
6,,30
6,11h20,30
6,,29.5
6,,29.5
20,11h55,31
20,11h20,30.5
20,11h00,30
20,10h00,30.5
20,9h00,30.5
20,10h30,28.5
20,10h20,29
20,13h30,30
20,13h45,29
20,7h25,30
20,7h15,31
20,9h20,30
20,10h00,28
20,10h10,27
20,,27
20,,29
20,,28.5
20,,28.5
20,,29
20,,28
20,,28
20,,28
20,,27.5
20,,27
27,,27
27,,26.5
27,,26.5
27,,27
27,,27
27,,26.5
27,,27
27,,27
27,,26.5
27,,27
27,,27
27,,26
4,11h55,32
4,11h40,32
4,11h15,32
4,10h45,31
4,9h40,31
4,10h40,31
4,10h30,31
4,14h40,30
4,15h00,30
4,8h25,30
4,8h10,31
4,8h25,31
4,9h20,29.5
4,9h45,28
4,,28
4,,30
4,,29
4,,29
4,,30
4,,29.5
4,,29
4,,29
4,,28
4,,28
11,10h35,30
11,,30
11,,29
11,9h30,31
11,,31
11,,30
11,10h30,31
11,,31
11,,30
11,11h,30
11,,29
11,,29
18,11h30,33
18,11h15,3
18,11h00,32
18,10h25,31
18,9h25,31
18,10h00,31
18,10h50,30.5
18,13h10,32
18,1 h20,31
18,7h50,32
18,7h35,32
18,8h40,32
18,9h40,29.5
18,10h00,29
18,,28.5
18,,30
18,,30
18,,29.5
18,,31
18,,31
18,,0
18,,29
18,,29
18,,28.5
25,,29
25,,29
25,,28.5
25,,30
25,,30
25,,29
25,,31
25,,30.5
25,,30
25,,29
25,,28.5
25,,28
1,11h30,34
1,11h10,33
1,10h50,3
1,10h20,32
1,9h20,32
1,10h20,32
1,10h30,32
1,14h50,30.5
1,15h10,30.5
1,8h05,31
1,7h50,31
1,8h30,31
1,9h40,31
1,9h55,30
1,,30
1,,32
1,,31
1,,31
1,,32
1,,31
1,,30
1,,30
1,,30
1,,29.5
8,10h40,28
8,,27
8,,27
8,9h45,33
8,,32
8,,32
8,10h30,32
8,,32
8,,31
8,10h40,30
8,,29.5
8,,29
15,11h45,33
15,11h30,33
15,11h15,31
15,10h15,30
15,9h10,30
15,10h15,28.5
15,10h30,28
15,13h10,31
15,13h25,30
15,7h55,32
15,7h40,33
15,8h50,33
15,10h00,28
15,11h50,27.5
15,,27
15,,30
15,,30
15,,29.5
15,,30
15,,30
15,,29
15,,29
15,,29
15,,28
22,10h,28
22,,27
22,,27
22,9h05,30
22,,30
22,,29.5
22,10h50,32
22,,32
22,,31
22,10h30,29.5
22,,29
22,,29
29,11h45,33
29,11h30,33
29,11h10,33
29,10h30,31
29,9h20,31
29,10h45,30
29,11h00,30
29,14h20,28
29,14h40,27
29,7h50,27
29,7h30,28
29,9h30,28
29,10h00,30
29,10h30,29
29,,29
29,,32
29,,32
29,,31
29,,33
29,,32.5
29,,32
29,,30
29,,29
29,,29
6,11h10,31
6,,30
6,,30
6,10h05,32
6,,31
6,,31
6,10h20,32
6,,32
6,,31
6,10h30,31
6,,30
6,,30
13,11h50,31
13,11h30,31
13,10h40,29.5
13,10h00,30
13,9h10,30
13,11h40,29
13,10h30,28
13,14h15,31
13,14h30,31
13,7h50,31
13,7h35,32
13,9h05,32
13,10h45,28
13,11h10,27
13,,26
13,,30
13,,29.5
13,,29.5
13,,31
13,,30
13,,30
13,,29
13,,29
13,,28
20,10h15,28
20,,27
20,,27
20,9h25,30
20,,30
20,,29.5
20,10h40,32
20,,32
20,,31
20,10h30,30
20,,29
20,,29
27,12h25,33
27,12h05,33
27,11h20,33
27,10h35,32
27,l0h50,32
27,10h30,33
27,14h50,33
27,15h05,30
27,8h20,29
27,8h50,30
27,10h25,31
27,,31
27,,31
27,,31
27,,30
27,,33
27,,31
27,,32
27,,33
27,,32
27,,2
27,,32
27,,31.5
27,,31
3,11h20,29
3,,28
3,,28
3,10h15,32
3,,31
3,,31
3,10h50,32
3,,32
3,,31
3,10h40,30
3,,39.5
3,,29
10,12h10,32
10,11h30,32
10,10h30,31
10,10h,29
10,9h05,30
10,11h15,28
10,11h30,28
10,13h10,30
10,13h25,29
10,8h40,29
10,7h25,30
10,7h20,29
10,8h00,29
10,8h20,28
10,,28
10,,30
10,,30
10,,29.5
10,,30
10,,30
10,,29.5
10,,29
10,,28.5
10,,28.5
17,10h35,29
17,,28
17,,28
17,9h30,30
17,,30
17,,29
17,10h30,30
17,,30
17,,29
17,10h50,29
17,,29
17,,28.5
24,12h25,33
24,12h05,33
24,11h50,33
24,11h10,32
24,10h10,32
24,10h40,32
24,10h30,32
24,14h40,31
24,14h55,31
24,8h45,31.5
24,8h30,32
24,9h15,32
24,9h45,32
24,10h20,31
24,,31
24,,32.5
24,,32
24,,32
24,,33
24,,32
24,,32
24,,32
24,,31
24,,31
31,10h20,31
31,,30
31,,30
31,11h30,32.5
31,,32
31,,32
31,10h50,33
31,,32
31,,31
31,11h,31.5
31,,31
31,,30
7,11h30,33
7,11h15,33
7,10h55,33
7,10h05,31
7,9h30,31
7,11h10,30
7,11h00,30
7,13h00,32
7,13h15,32
7,8h05,32
7,7h40,33
7,8h20,32
7,9h30,31
7,9h55,30.5
7,,30
7,,32
7,,31
7,,31
7,,32
7,,32
7,,31
7,,31
7,,31
7,,30
14,10h10,31
14,,30.5
14,,30
14,9h25,32
14,,31.5
14,,31.5
14,11h40,32
14,,32
14,,31
14,10h45,31
14,,30
14,,30
21,12h15,33
21,11h55,33
21,11h25,33
21,10h50,32
21,10h00,32
21,11h30,31
21,11h10,31
21,14h15,29
21,14h35,31
21,8h45,30.5
21,8h30,31
21,9h00,31
21,9h50,31.5
21,10h10,31
21,,31
21,,32.5
21,,32
21,,32
21,,32
21,,32
21,,31.5
21,,31
21,,30.5
21,,30
28,11h25,31.5
28,,31
28,,31
28,10h10,32.5
28,,32
28,,32
28,11h10,32
28,,32
28,,31
28,10h50,31
28,,30.5
28,,30.5
5,11h55,31
5,11h40,31
5,11h15,30
5,10h40,30
5,9h45,30
5,10h00,28
5,11h15,29
5,13h40,31
5,14h00,30
5,8h20,31
5,8h00,31
5,8h40,31
5,9h45,30
5,10h10,29.5
5,,29.5
5,,29.5
5,,30
5,,30
5,,30
5,,30
5,,29.5
5,,29
5,,28.5
5,,28.5
19,13h00,30
19,12h30,30
19,12h00,30
19,11h15,29
19,10h20,29
19,11h30,29
19,11h05,29
19,14h05,28
19,14h20,28
19,8h50,27.5
19,8h30,27.5
19,8h30,28.5
19,9h30,30
19,9h45,29
19,,29
19,,30
19,,29
19,,29
19,,30
19,,29.5
19,,29.5
19,,29.5
19,,29
19,,29
2,11h50,27
2,11h15,27
2,11h,27
2,10h10,27
2,9h15,27
2,11h20,25
2,11h30,25
2,13h10,27.5
2,13h40,27
2,8h10,27
2,8h35,27.5
2,8h30,27.5
2,8h50,26
2,9h20,25.5
2,10h25,25.5
2,10h05,25.5
2,,25.5
2,,26
2,,27
2,,27
2,,27.5
2,,26
2,,26
2,,25.5
12,10h40,27
12,,27
12,,26.5
12,11h25,26
12,,27
12,,27
12,12h10,26.5
12,,26
12,,26
12,13h20,26.5
12,,26
12,,26
16,9h55,27
16,,27
16,,26.5
16,9h40,27
16,,27
16,,27
16,11h20,27
16,,27
16,,26.5
16,11h00,27
16,,26.5
16,,26.5
30,10h20,24.5
30,,24
30,,24
30,9h30,24
30,,24
30,,24.5
30,10h,25
30,,24.5
30,,24.5
30,11h,24.5
30,,24
30,,24
